match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2
2021-ausopen-WS142,2021,ausopen,2142,L Samsonova,P Badosa,,,,,,,,,,
2021-ausopen-WS143,2021,ausopen,2143,Z Diyas,T Zidansek,,,,,,,,,,
2021-ausopen-WS144,2021,ausopen,2144,B Pera,A Kerber,,,,,,,,,,
2021-ausopen-WS145,2021,ausopen,2145,O Jabeur,A Petkovic,,,,,,,,,,
2021-ausopen-WS146,2021,ausopen,2146,M Hibi,A Schmiedlova,,,,,,,,,,
2021-ausopen-WS147,2021,ausopen,2147,P Hercog,C Garcia,,,,,,,,,,
2021-ausopen-WS148,2021,ausopen,2148,A Pavlyuchenkova,N Osaka,,,,,,,,,,
2021-ausopen-WS149,2021,ausopen,2149,A Sabalenka,V Kuzmova,,,,,,,,,,
2021-ausopen-WS150,2021,ausopen,2150,K Boulter,D Kasatkina,,,,,,,,,,
2021-ausopen-WS151,2021,ausopen,2151,A Cornet,V Savinykh,,,,,,,,,,
2021-ausopen-WS152,2021,ausopen,2152,A Li,S Zhang,,,,,,,,,,
2021-ausopen-WS153,2021,ausopen,2153,A Riske,A Potapova,,,,,,,,,,
2021-ausopen-WS154,2021,ausopen,2154,T Babos,Y Bonaventure,,,,,,,,,,
2021-ausopen-WS155,2021,ausopen,2155,N Stojanovic,I Begu,,,,,,,,,,
2021-ausopen-WS156,2021,ausopen,2156,L Siegemund,S Williams,,,,,,,,,,
2021-ausopen-WS157,2021,ausopen,2157,I Swiatek,A Rus,,,,,,,,,,
2021-ausopen-WS158,2021,ausopen,2158,Y Shvedova,C Giorgi,,,,,,,,,,
2021-ausopen-WS159,2021,ausopen,2159,F Ferro,K Siniakova,,,,,,,,,,
2021-ausopen-WS160,2021,ausopen,2160,V Zvonareva,E Rybakina,,,,,,,,,,
2021-ausopen-WS161,2021,ausopen,2161,V Kudermetova,M Kostyuk,,,,,,,,,,
2021-ausopen-WS162,2021,ausopen,2162,V Gracheva,A Blinkova,,,,,,,,,,
2021-ausopen-WS163,2021,ausopen,2163,M Doi,A Tomljanovic,,,,,,,,,,
2021-ausopen-WS164,2021,ausopen,2164,L Cabrera,S Halep,,,,,,,,,,
2021-ausopen-WS201,2021,ausopen,2201,A Barty,D Gavrilova,,,,,,,,,,
2021-ausopen-WS202,2021,ausopen,2202,B Krejcikova,E Alexandrova,,,,,,,,,,
2021-ausopen-WS203,2021,ausopen,2203,A Kontaveit,H Watson,,,,,,,,,,
2021-ausopen-WS204,2021,ausopen,2204,S Rogers,O Danilovic,,,,,,,,,,
2021-ausopen-WS205,2021,ausopen,2205,B Bencic,S Kuznetsova,,,,,,,,,,
2021-ausopen-WS206,2021,ausopen,2206,L Zhu,E Mertens,,,,,,,,,,
2021-ausopen-WS207,2021,ausopen,2207,K Muchova,M Barthel,,,,,,,,,,
2021-ausopen-WS208,2021,ausopen,2208,D Collins,Ka Pliskova,,,,,,,,,,
2021-ausopen-WS209,2021,ausopen,2209,S Kenin,K Kanepi,,,,,,,,,,
2021-ausopen-WS210,2021,ausopen,2210,N Podoroska,D Vekic,,,,,,,,,,
2021-ausopen-WS211,2021,ausopen,2211,J Brady,M Brengle,,,,,,,,,,
2021-ausopen-WS212,2021,ausopen,2212,M Sherif,K Juvan,,,,,,,,,,
2021-ausopen-WS213,2021,ausopen,2213,J Pegula,S Stosur,,,,,,,,,,
2021-ausopen-WS214,2021,ausopen,2214,N Hibino,K Mladenovic,,,,,,,,,,
2021-ausopen-WS215,2021,ausopen,2215,Y Putintseva,A Van Uytvanck,,,,,,,,,,
2021-ausopen-WS216,2021,ausopen,2216,C Gauff,E Svitolina,,,,,,,,,,
2021-ausopen-WS217,2021,ausopen,2217,B Andreescu,S Hsieh,,,,,,,,,,
2021-ausopen-WS218,2021,ausopen,2218,V Williams,S Errani,,,,,,,,,,
2021-ausopen-WS219,2021,ausopen,2219,M Vondrousova,R Marino,,,,,,,,,,
2021-ausopen-WS220,2021,ausopen,2220,S Cirstea,P Kvitova,,,,,,,,,,
2021-ausopen-WS221,2021,ausopen,2221,G Muguruza,L Samsonova,,,,,,,,,,
2021-ausopen-WS222,2021,ausopen,2222,Z Diyas,B Pera,,,,,,,,,,
2021-ausopen-WS223,2021,ausopen,2223,O Jabeur,A Schmiedlova,,,,,,,,,,
2021-ausopen-WS224,2021,ausopen,2224,C Garcia,N Osaka,,,,,,,,,,
2021-ausopen-WS225,2021,ausopen,2225,A Sabalenka,D Kasatkina,,,,,,,,,,
2021-ausopen-WS226,2021,ausopen,2226,A Cornet,A Li,,,,,,,,,,
2021-ausopen-WS227,2021,ausopen,2227,A Potapova,T Babos,,,,,,,,,,
2021-ausopen-WS228,2021,ausopen,2228,N Stojanovic,S Williams,,,,,,,,,,
2021-ausopen-WS229,2021,ausopen,2229,I Swiatek,C Giorgi,,,,,,,,,,
2021-ausopen-WS230,2021,ausopen,2230,F Ferro,E Rybakina,,,,,,,,,,
2021-ausopen-WS231,2021,ausopen,2231,V Kudermetova,V Gracheva,,,,,,,,,,
2021-ausopen-WS232,2021,ausopen,2232,A Tomljanovic,S Halep,,,,,,,,,,
2021-ausopen-WS301,2021,ausopen,2301,A Barty,E Alexandrova,,,,,,,,,,
2021-ausopen-WS302,2021,ausopen,2302,A Kontaveit,S Rogers,,,,,,,,,,
2021-ausopen-WS303,2021,ausopen,2303,B Bencic,E Mertens,,,,,,,,,,
2021-ausopen-WS304,2021,ausopen,2304,K Muchova,Ka Pliskova,,,,,,,,,,
2021-ausopen-WS305,2021,ausopen,2305,K Kanepi,D Vekic,,,,,,,,,,
2021-ausopen-WS306,2021,ausopen,2306,J Brady,K Juvan,,,,,,,,,,
2021-ausopen-WS307,2021,ausopen,2307,J Pegula,K Mladenovic,,,,,,,,,,
2021-ausopen-WS308,2021,ausopen,2308,Y Putintseva,E Svitolina,,,,,,,,,,
2021-ausopen-WS309,2021,ausopen,2309,S Hsieh,S Errani,,,,,,,,,,
2021-ausopen-WS310,2021,ausopen,2310,M Vondrousova,S Cirstea,,,,,,,,,,
2021-ausopen-WS311,2021,ausopen,2311,G Muguruza,Z Diyas,,,,,,,,,,
2021-ausopen-WS312,2021,ausopen,2312,O Jabeur,N Osaka,,,,,,,,,,
2021-ausopen-WS313,2021,ausopen,2313,A Sabalenka,A Li,,,,,,,,,,
2021-ausopen-WS314,2021,ausopen,2314,A Potapova,S Williams,,,,,,,,,,
2021-ausopen-WS315,2021,ausopen,2315,I Swiatek,F Ferro,,,,,,,,,,
2021-ausopen-WS316,2021,ausopen,2316,V Kudermetova,S Halep,,,,,,,,,,
2021-ausopen-WS401,2021,ausopen,2401,A Barty,S Rogers,,,,,,,,,,
2021-ausopen-WS402,2021,ausopen,2402,E Mertens,K Muchova,,,,,,,,,,
2021-ausopen-WS403,2021,ausopen,2403,D Vekic,J Brady,,,,,,,,,,
2021-ausopen-WS404,2021,ausopen,2404,J Pegula,E Svitolina,,,,,,,,,,
2021-ausopen-WS405,2021,ausopen,2405,S Hsieh,M Vondrousova,,,,,,,,,,
2021-ausopen-WS406,2021,ausopen,2406,G Muguruza,N Osaka,,,,,,,,,,
2021-ausopen-WS407,2021,ausopen,2407,A Sabalenka,S Williams,,,,,,,,,,
2021-ausopen-WS408,2021,ausopen,2408,I Swiatek,S Halep,,,,,,,,,,
2021-ausopen-WS501,2021,ausopen,2501,A Barty,K Muchova,,,,,,,,,,
2021-ausopen-WS502,2021,ausopen,2502,J Brady,J Pegula,,,,,,,,,,
2021-ausopen-WS503,2021,ausopen,2503,S Hsieh,N Osaka,,,,,,,,,,
2021-ausopen-WS504,2021,ausopen,2504,S Williams,S Halep,,,,,,,,,,
2021-ausopen-WS601,2021,ausopen,2601,K Muchova,J Brady,,,,,,,,,,
2021-ausopen-WS602,2021,ausopen,2602,N Osaka,S Williams,,,,,,,,,,
2021-ausopen-WS701,2021,ausopen,2701,J Brady,N Osaka,,,,,,,,,,
