WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Zheng Q.,Potapova A.,39,52,1268,1066,7,6,7,6,,,2,0,Completed,1.57,2.37,1.56,2.56,1.73,2.56,1.57,2.41
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Yuan Y.,Begu I.,142,42,444,1234,6,3,7,6,,,2,0,Completed,3,1.4,2.92,1.46,3,1.5,2.86,1.42
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Cornet A.,Siniakova K.,40,83,1260,728,6,1,1,6,6,3,2,1,Completed,1.44,2.75,1.48,2.82,1.56,2.85,1.46,2.72
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Muguruza G.,Fruhvirtova L.,10,167,2886,373,6,0,6,4,,,2,0,Completed,1.5,2.62,1.52,2.7,1.56,2.8,1.5,2.58
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Sabalenka A.,Kanepi K.,6,34,3470,1433,2,6,7,6,6,4,2,1,Completed,1.5,2.62,1.46,2.89,1.57,2.95,1.46,2.73
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Bouzkova M.,22,41,2007,1252,6,3,6,2,,,2,0,Completed,2.2,1.66,2.34,1.66,2.34,1.73,2.21,1.67
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Collins D.,Bucsa C.,19,118,2167,528,6,2,7,5,,,2,0,Completed,1.28,3.75,1.29,3.9,1.33,3.9,1.3,3.55
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Burel C.,Van Uytvanck A.,131,43,471,1220,6,4,4,6,6,4,2,1,Completed,2.2,1.66,2.57,1.55,2.6,1.69,2.39,1.58
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Jabeur O.,Rogers S.,5,31,3920,1516,4,6,6,4,6,3,2,1,Completed,1.57,2.37,1.63,2.41,1.68,2.61,1.6,2.36
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Kudermetova V.,Galfi D.,18,91,2206,676,6,2,6,0,,,2,0,Completed,1.25,4,1.3,3.86,1.3,4,1.27,3.82
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Zhang S.,Marino R.,36,106,1360,603,6,2,6,4,,,2,0,Completed,1.5,2.62,1.55,2.61,1.57,2.75,1.52,2.55
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Gauff C.,Keys M.,12,20,2687,2128,6,2,6,3,,,2,0,Completed,1.61,2.3,1.67,2.32,1.68,2.35,1.64,2.27
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Riske A.,Wang Xiy.,29,75,1525,842,6,4,3,6,6,4,2,1,Completed,1.61,2.3,1.67,2.32,1.74,2.35,1.66,2.22
43,New York,US Open,02/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Samsonova L.,Krunic A.,35,96,1407,652,6,3,6,3,,,2,0,Completed,1.16,5,1.17,5.75,1.2,5.75,1.17,5.13
43,New York,US Open,03/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Tomljanovic A.,Williams S.,46,605,1100,61,7,5,6,7,6,1,2,1,Completed,2.2,1.66,2.21,1.74,2.25,1.83,2.15,1.71
43,New York,US Open,03/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Garcia C.,Andreescu B.,17,48,2220,1082,6,3,6,2,,,2,0,Completed,1.61,2.3,1.68,2.3,1.75,2.47,1.65,2.26
43,New York,US Open,03/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Kvitova P.,Muguruza G.,21,10,2077,2886,5,7,6,3,7,6,2,1,Completed,1.53,2.5,1.57,2.54,1.58,2.69,1.54,2.49
43,New York,US Open,03/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Pegula J.,Yuan Y.,8,142,3201,444,6,2,6,7,6,0,2,1,Completed,1.16,5,1.18,5.47,1.19,5.75,1.16,5.39
43,New York,US Open,03/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Azarenka V.,Martic P.,26,54,1841,1049,6,3,6,0,,,2,0,Completed,1.53,2.5,1.57,2.54,1.62,2.6,1.55,2.46
43,New York,US Open,03/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Pliskova Ka.,Bencic B.,22,13,2007,2635,5,7,6,4,6,3,2,1,Completed,2,1.8,2.16,1.76,2.25,1.8,2.11,1.74
43,New York,US Open,04/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Swiatek I.,Davis L.,1,105,8605,604,6,3,6,4,,,2,0,Completed,1.07,9,1.07,10.44,1.1,11,1.07,8.73
43,New York,US Open,04/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Niemeier J.,Zheng Q.,108,39,601,1268,6,4,7,6,,,2,0,Completed,3.2,1.36,3.47,1.35,3.6,1.5,3.23,1.35
43,New York,US Open,04/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Sabalenka A.,Burel C.,6,131,3470,471,6,0,6,2,,,2,0,Completed,1.16,5,1.16,6.03,1.19,6.03,1.16,5.32
43,New York,US Open,04/09/2022,Grand Slam,Outdoor,Hard,3rd Round,3,Collins D.,Cornet A.,19,40,2167,1260,6,4,7,6,,,2,0,Completed,1.57,2.37,1.54,2.62,1.67,2.62,1.59,2.37
43,New York,US Open,04/09/2022,Grand Slam,Outdoor,Hard,4th Round,3,Garcia C.,Riske A.,17,29,2220,1525,6,4,6,1,,,2,0,Completed,1.22,4.33,1.25,4.5,1.29,4.89,1.23,4.23
43,New York,US Open,04/09/2022,Grand Slam,Outdoor,Hard,4th Round,3,Gauff C.,Zhang S.,12,36,2687,1360,7,5,7,5,,,2,0,Completed,1.28,3.75,1.31,3.82,1.33,3.85,1.29,3.57
43,New York,US Open,05/09/2022,Grand Slam,Outdoor,Hard,4th Round,3,Tomljanovic A.,Samsonova L.,46,35,1100,1407,7,6,6,1,,,2,0,Completed,3,1.4,3.39,1.37,3.4,1.5,3.07,1.38
